GTEX_ID	File_Name	Google_URL	AWS_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	md5sum	File size	Assignment
GTEX-1117F-0003-SM-6WBT7	GTEX-1117F-0003-SM-6WBT7.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.crai		dg.4503/00ff5dd5-433d-4313-a57c-b5cd9b91e2a7			dos://dg.4503/00ff5dd5-433d-4313-a57c-b5cd9b91e2a7	07f6c93a873ab67bc8cd0bcff1da7cdb	1557772	Helium
GTEX-1117F-0003-SM-6WBT7	GTEX-1117F-0003-SM-6WBT7.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.cram		dg.4503/3625833a-404e-46c8-af16-3fb50a23f11c			dos://dg.4503/3625833a-404e-46c8-af16-3fb50a23f11c	e4593d61fd70c7a152ea5a6fb5d8b798	49755594764	Helium
GTEX-111CU-0003-SM-6WBUD	GTEX-111CU-0003-SM-6WBUD.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.crai		dg.4503/ca9b1ef3-7ea7-4826-962e-9e6a4e64225f			dos://dg.4503/ca9b1ef3-7ea7-4826-962e-9e6a4e64225f	8a2c559a5451cb358f922da1da36c383	1560584	Helium
GTEX-111CU-0003-SM-6WBUD	GTEX-111CU-0003-SM-6WBUD.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.cram		dg.4503/2c4d7a1e-2049-4a2a-8e64-a7dc0f21d65a			dos://dg.4503/2c4d7a1e-2049-4a2a-8e64-a7dc0f21d65a	e78c220ccd642a47e3e1631982eb6c9b	47037775969	Helium
GTEX-111FC-0001-SM-6WBTJ	GTEX-111FC-0001-SM-6WBTJ.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.crai		dg.4503/9720cbd8-36fa-48f3-b0a0-7b368ce0a3ef			dos://dg.4503/9720cbd8-36fa-48f3-b0a0-7b368ce0a3ef	4760ec062f18f974e09a5eb906be5503	1553534	Helium
GTEX-111FC-0001-SM-6WBTJ	GTEX-111FC-0001-SM-6WBTJ.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.cram		dg.4503/49b09e01-ab85-408e-9173-2adde406ac28			dos://dg.4503/49b09e01-ab85-408e-9173-2adde406ac28	e3da69f44f149826bd79ac53329f2139	51332177095	Helium
GTEX-111VG-0004-SM-6WBTS	GTEX-111VG-0004-SM-6WBTS.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.crai		dg.4503/b1d6d1a0-8d57-424c-bc72-8fb2d8cdb3bb			dos://dg.4503/b1d6d1a0-8d57-424c-bc72-8fb2d8cdb3bb	fc59e5272b1da81ee0edbc8b20920177	1675088	Helium
GTEX-111VG-0004-SM-6WBTS	GTEX-111VG-0004-SM-6WBTS.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.cram		dg.4503/a7571c7d-d868-4e92-8edd-73f994fa3c89			dos://dg.4503/a7571c7d-d868-4e92-8edd-73f994fa3c89	2b9d6e5358288284cd4b8edcd4b10442	52095952984	Helium
GTEX-111YS-0004-SM-6WBTN	GTEX-111YS-0004-SM-6WBTN.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.crai		dg.4503/6f17b899-ce60-4f7d-96dc-ee76470f97f5			dos://dg.4503/6f17b899-ce60-4f7d-96dc-ee76470f97f5	64025422a239216a0ba2fabfa4aebb04	1628686	Helium
GTEX-111YS-0004-SM-6WBTN	GTEX-111YS-0004-SM-6WBTN.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.cram		dg.4503/a190f9ec-817a-4f29-b0a6-aa853d1c509f			dos://dg.4503/a190f9ec-817a-4f29-b0a6-aa853d1c509f	8807f7f757aaaa159cf8ba1a8b914f8e	55790590808	Helium
