This is a list of identifiers associated with the topmed public 107 data set.													
The original manifest was found here: gs://topmed-irc-share/public/TOPMed.public_samples.manifest.2017.11.30.txt													
													
NWD_ID	HapMap_1000G_ID	SEQ_CTR	Google_URL	S3_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	CRAI_URL	md5sum	Assignment	realigned_md5sum
NWD100953	HG01110	WashU	gs://topmed-irc-share/public/NWD100953.recab.cram	s3://cgp-commons-public/topmed_open_access/44a8837b-4456-5709-b56b-54e23000f13a/NWD100953.recab.cram	ark:/99999/fk4E1n6n1YHKxPk	dg.4503/01b048d0-e128-4cb0-94e9-b2d2cab7563d	a83de7f555fe446f8319aa691a4d6f5a		dos://dos.commons.ucsc-cgp.org/01b048d0-e128-4cb0-94e9-b2d2cab7563d?version=2018-05-26T133719.491772Z	cram	f9e72bdf25bf4b4f0e581d9218fec2eb	All	
NWD100953	HG01110	WashU	gs://topmed-irc-share/public/NWD100953.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/44a8837b-4456-5709-b56b-54e23000f13a/NWD100953.recab.cram.crai	ark:/99999/fk4E1n6n1YHKxPk	dg.4503/630d31c3-381e-488d-b639-ce5d047a0142	1a85d15137db42edab6bb89cb97df07b		dos://dos.commons.ucsc-cgp.org/630d31c3-381e-488d-b639-ce5d047a0142?version=2018-05-26T134315.070662Z	crai	3b0f63a815384a3d44c61b4abd40caf9	All	
NWD119836	NA12878	NYGC	gs://topmed-irc-share/public/NWD119836.recab.cram	s3://cgp-commons-public/topmed_open_access/204cf1bd-1477-57e6-880c-1b863edac627/NWD119836.recab.cram	ark:/99999/fk4GnRWNTWxlNN	dg.4503/5e74b6d5-db4e-45d9-bc8b-099da92f025c	b679b5c8a5034c3aa7294a72489960f0		dos://dos.commons.ucsc-cgp.org/5e74b6d5-db4e-45d9-bc8b-099da92f025c?version=2018-05-26T133719.578686Z	cram	6b16a838f0af3b3cff52f3c746a36548	All	
NWD119836	NA12878	NYGC	gs://topmed-irc-share/public/NWD119836.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/204cf1bd-1477-57e6-880c-1b863edac627/NWD119836.recab.cram.crai	ark:/99999/fk4GnRWNTWxlNN	dg.4503/f456ce3c-9b41-4800-9a92-c2afbe4446eb	f4f3a63611ec458eaa917c544e70c234		dos://dos.commons.ucsc-cgp.org/f456ce3c-9b41-4800-9a92-c2afbe4446eb?version=2018-05-26T134315.143570Z	crai	0ea01635527c738a5f3bf82acf0c3859	All	
NWD119844	NA12878	Baylor	gs://topmed-irc-share/public/NWD119844.recab.cram	s3://cgp-commons-public/topmed_open_access/06dfc2ab-2d04-52c3-9723-0ac4042e4e38/NWD119844.recab.cram	ark:/99999/fk41RH0R3aSlb0tQ	dg.4503/44ec7963-5c7a-4974-bb4d-c8b5c002019c	616b2be41d914d068dea8725326be373		dos://dos.commons.ucsc-cgp.org/44ec7963-5c7a-4974-bb4d-c8b5c002019c?version=2018-05-26T133719.645036Z	cram	7785199a2d173158598db81c2d492776	All	
NWD119844	NA12878	Baylor	gs://topmed-irc-share/public/NWD119844.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/06dfc2ab-2d04-52c3-9723-0ac4042e4e38/NWD119844.recab.cram.crai	ark:/99999/fk41RH0R3aSlb0tQ	dg.4503/25065a60-6b7d-4c50-abf9-0cf86c5b483a	ded368cfd18e4978b905a9f297e01385		dos://dos.commons.ucsc-cgp.org/25065a60-6b7d-4c50-abf9-0cf86c5b483a?version=2018-05-26T134315.205291Z	crai	48c26ed3d4a8224f4dfa3515edae749b	All	
NWD136397	HG01110	NYGC	gs://topmed-irc-share/public/NWD136397.recab.cram	s3://cgp-commons-public/topmed_open_access/bd91f499-1620-5500-8f73-89158fb9d709/NWD136397.recab.cram	ark:/99999/fk41B3VomwJC82mc	dg.4503/37d353be-aa24-4ce8-b208-494aa5062b9d	4858134a2cdb482e92dd3f0922b16298		dos://dos.commons.ucsc-cgp.org/37d353be-aa24-4ce8-b208-494aa5062b9d?version=2018-05-26T133719.710053Z	cram	634a90a870f3d33242416678af8ddce8	All	
NWD136397	HG01110	NYGC	gs://topmed-irc-share/public/NWD136397.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/bd91f499-1620-5500-8f73-89158fb9d709/NWD136397.recab.cram.crai	ark:/99999/fk41B3VomwJC82mc	dg.4503/b1dcfdbe-4314-4efd-8f52-559435188b40	af2725bd88df424d869b27e2bf398d35		dos://dos.commons.ucsc-cgp.org/b1dcfdbe-4314-4efd-8f52-559435188b40?version=2018-05-26T134315.268945Z	crai	c307d05c44e4549bf7ef4b519468792b	All	
NWD146103	NA19238	WashU	gs://topmed-irc-share/public/NWD146103.recab.cram	s3://cgp-commons-public/topmed_open_access/f262151f-155d-5511-a809-bd02342f6754/NWD146103.recab.cram	ark:/99999/fk4JnwIEatRQXTw	dg.4503/6df4d205-d0f7-42ad-9e7a-020a5538d847	444c793b5e7943faae092c226cb92621		dos://dos.commons.ucsc-cgp.org/6df4d205-d0f7-42ad-9e7a-020a5538d847?version=2018-05-26T133719.770731Z	cram	1a0d3ac025039c4e62eabcbba5fca034	All	
NWD146103	NA19238	WashU	gs://topmed-irc-share/public/NWD146103.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/f262151f-155d-5511-a809-bd02342f6754/NWD146103.recab.cram.crai	ark:/99999/fk4JnwIEatRQXTw	dg.4503/1e4142b8-4266-49ae-a452-b64d5f803a4c	8e95c44f3e7d49048f8187384cdea19f		dos://dos.commons.ucsc-cgp.org/1e4142b8-4266-49ae-a452-b64d5f803a4c?version=2018-05-26T134315.332533Z	crai	3837011c774444d2996f514a9880bc9f	All	
NWD155824	NA12878	Broad	gs://topmed-irc-share/public/NWD155824.recab.cram	s3://cgp-commons-public/topmed_open_access/b0ef8b2f-6984-544d-aea8-ccaa2c444760/NWD155824.recab.cram	ark:/99999/fk41DhAAvG15DzMz	dg.4503/8f66b2ab-6670-4a62-af5d-2f51b78857cd	adf01c8db4a445a2a698276ece5b32a8		dos://dos.commons.ucsc-cgp.org/8f66b2ab-6670-4a62-af5d-2f51b78857cd?version=2018-05-26T133719.830596Z	cram	6d654054823a0361e19146a4abf31cef	All	
