gtexid,input,output,size,md5,location,status,workflow_id
GTEX-ZP4G-0002-SM-6WBSI,ark:/57799/b91BEhp02ZhchwJ,ark:/57799/b9OOevjh5wA4Az,2728,d7412cafdd0bb2691bfc8f5f7d307c7d,https://bags.fair-research.org/15374771801997_1_15377849196740.outputs.bdbag.zip,COMPLETE,8a45168334cd3058-cb99f3bb3b2ada2e
GTEX-ZYFC-0001-SM-6WBT4,ark:/57799/b9pWnPV7pUxjCT,ark:/57799/b917mvis0SuYEsO,2728,03d9049c6650fd566cca1a8b079bd106,https://bags.fair-research.org/15374797703671_1_15376915283832.outputs.bdbag.zip,COMPLETE,aebb3ae2b876d620-492991bf4ca932d8
GTEX-YJ8A-0002-SM-6UH3B,ark:/57799/b9JdjmalI8WXwV,,,,,RUNNING,a76507e5ccfffaec-afecb6ea337d7b88
GTEX-ZAB5-0004-SM-6UH3A,ark:/57799/b9D9YLA2l7PbfI,ark:/57799/b96I1MXONAytNZ,2727,e8c6e0510fdaaeacaa4241ebb1d81bea,https://bags.fair-research.org/15374772114205_1_15376934414505.outputs.bdbag.zip,COMPLETE,3c08aafcf40f5e34-1a05fd610c1eda27
GTEX-XYKS-0003-SM-5JK4D,ark:/57799/b9HlcDERdophHQ,ark:/57799/b91PWhbiHy3SzsK,2723,0a857b6c45ab79920663d2693e30b4d5,https://bags.fair-research.org/15374775005994_1_15376660296022.outputs.bdbag.zip,COMPLETE,e5240eafe85a1a80-bb71168849fb41f4
GTEX-ZZ64-0004-SM-6WBT6,ark:/57799/b9BblMuhBaC60Z,,,,,RUNNING,0f4813bb80e98613-80fdcf16f77d7048
GTEX-ZVTK-0002-SM-6WBSA,ark:/57799/b9cozVyH4Cgb2m,ark:/57799/b9154vM81Mt9saG,2725,b0a5f4652b4c3dab0485d1b86af2a288,https://bags.fair-research.org/15375049622042_1_15377159362171.outputs.bdbag.zip,COMPLETE,c115f53f012c7417-395dfffca1cc7758
GTEX-ZVP2-0002-SM-6WBSN,ark:/57799/b9123hI1aIExjuh,ark:/57799/b919hFU3bHxwbAD,2728,597bf615e33b1465bbd348e4e42faeb7,https://bags.fair-research.org/15374773026076_1_15377748922023.outputs.bdbag.zip,COMPLETE,43023950194bac30-9de6d9707606fae2
GTEX-ZYFG-0004-SM-6WBT5,ark:/57799/b9lifLNc7Hcqs3,ark:/99999/fk4bTQmxWgQVtGd,2725,98027dfbb86616a27393c0448bcc8780,https://bags.fair-research.org/15374771912446_1_15379605364218.outputs.bdbag.zip,COMPLETE,444a98f25eba1900-49869a9801da24be
GTEX-ZG7Y-0001-SM-6UH3L,ark:/57799/b91FqWSdwqOkOyb,,,,,RUNNING,6cb5def0526e23ff-f8ee6cd770110da4
